20140901,290649441,305006653
20140902,273818631,290620012
20140903,265023232,279492563
20140904,254139808,273067004
20140905,245751928,265256820
20140906,234847176,256068828
20140907,225294032,245833452
20140908,263916362,283733843
20140909,254106306,274420261
20140910,244759492,267576250
20140911,234941880,260932878
20140912,228793913,254183028
20140913,220199996,247351433
20140914,213056204,241776243
20140915,248795299,280808004
20140916,240473171,269596495
20140917,230942401,263898772
20140918,224572308,257534822
20140919,218697154,250762943
20140920,209508561,242794533
20140921,202917889,237866260
20140922,239002721,275907392
20140923,228947331,266397254
20140924,221821663,260262397
20140925,214205814,254180707
20140926,207792390,246780508
20140927,200932031,238594544
20140928,192805372,232143589
20140929,229788817,269424586
20140930,219309028,260994886
